idbestellpositionen;bestellungen_idbestellungen;artikel_idartikel;anzahl
345;621;1;2
346;572;1;3
348;2041;1;2
349;1974;1;2
356;1210;1;2
363;952;1;2
376;2085;1;2
380;1742;1;2
383;1801;1;3
393;675;1;3
402;2184;1;3
410;1761;1;3
413;744;1;2
414;1906;1;3
419;875;1;1
430;649;1;3
434;267;1;3
438;1902;1;1
441;1213;1;1
450;629;1;1
453;915;1;1
461;636;1;2
472;1510;1;2
477;1421;1;2
482;589;1;2
489;1814;1;3
492;1423;1;1
494;675;1;3
495;1659;1;2
504;1990;1;1
511;373;1;2
521;1080;1;1
526;1317;1;3
532;671;1;1
538;1524;1;3
540;1236;1;1
543;1379;1;2
549;1119;1;3
550;2181;1;1
552;1682;1;2
553;1634;1;3
562;1888;1;1
563;1338;1;2
566;1654;1;2
572;2146;1;3
577;1883;1;2
579;636;1;1
591;393;1;3
597;1678;1;1
600;1388;1;3
603;629;1;1
606;1013;1;3
608;2116;1;3
610;296;1;3
613;505;1;1
614;435;1;2
617;1005;1;2
623;1745;1;3
625;1935;1;1
627;268;1;1
628;580;1;1
634;1217;1;3
635;652;1;3
640;344;1;2
647;1497;1;1
652;1349;1;3
654;977;1;2
679;1523;1;2
681;359;1;3
685;1985;1;1
688;424;1;1
689;834;1;1
694;206;5;1
696;1687;1;3
700;210;4;2
701;210;7;2
702;1349;1;3
705;827;1;3
710;1071;1;1
722;875;1;1
725;2119;1;2
726;225;7;1
729;2176;1;3
732;380;1;2
736;2110;1;1
743;235;7;1
744;1574;1;2
745;236;4;2
747;1420;1;3
749;475;1;3
753;998;1;1
756;2103;1;1
758;244;4;2
759;405;1;1
765;248;5;3
774;1331;1;3
776;724;1;1
777;255;7;3
782;258;5;1
783;591;1;1
788;1679;1;2
795;578;1;2
796;266;4;1
801;928;1;3
810;1580;1;2
812;1829;1;1
813;276;4;2
817;1251;1;2
819;280;4;2
820;280;7;2
821;1039;1;1
822;1350;1;3
826;284;4;3
827;1006;1;3
839;1997;1;3
847;296;5;3
852;1679;1;3
855;1230;1;3
856;1321;1;2
859;1211;1;2
862;305;7;1
865;560;1;3
866;328;1;2
869;1840;1;1
872;1110;1;3
874;312;4;2
880;806;1;3
883;1408;1;1
889;1715;1;2
893;505;1;3
897;722;1;1
903;569;1;3
907;925;1;1
909;652;1;2
913;335;7;3
914;1426;1;1
915;336;5;1
920;951;1;2
922;340;7;1
926;630;1;3
927;810;1;1
928;344;4;1
931;269;1;1
935;348;5;3
936;2134;1;1
937;1829;1;1
943;1251;1;2
947;355;7;1
948;1409;1;1
952;358;5;3
956;360;7;2
962;364;5;2
966;366;4;3
967;1353;1;3
975;209;1;3
978;633;1;3
982;1612;1;1
987;874;1;3
990;380;7;1
993;382;5;1
994;1532;1;2
1002;430;1;1
1003;388;4;1
1009;348;1;3
1012;1310;1;2
1013;394;5;2
1016;802;1;2
1022;2043;1;3
1025;1745;1;2
1030;404;5;3
1032;405;7;1
1034;406;5;2
1038;1663;1;1
1043;932;1;1
1060;956;1;2
1067;652;1;3
1070;585;1;3
1074;430;4;3
1075;430;7;2
1076;464;1;1
1078;432;5;3
1080;912;1;1
1082;1114;1;1
1083;435;7;1
1084;1754;1;2
1085;436;4;3
1087;1415;1;3
1100;445;7;3
1102;446;4;2
1104;900;1;3
1105;448;5;1
1111;866;1;2
1116;1333;1;2
1120;725;1;2
1121;1361;1;3
1123;2120;1;3
1126;460;7;3
1129;462;4;3
1132;464;4;2
1140;911;1;1
1146;472;5;1
1147;1211;1;3
1148;1978;1;3
1149;474;5;3
1150;483;1;3
1151;475;7;3
1154;1216;1;3
1157;1459;1;3
1163;482;5;3
1164;1233;1;1
1166;484;4;1
1169;268;1;1
1177;490;7;3
1181;693;1;1
1183;494;4;2
1185;495;7;1
1189;244;1;3
1190;498;5;1
1191;980;1;2
1200;504;5;2
1202;505;7;1
1208;556;1;3
1209;1935;1;1
1212;1251;1;3
1216;1047;1;1
1219;515;7;3
1220;2036;1;3
1222;1934;1;3
1223;2076;1;2
1225;1331;1;3
1226;2069;1;3
1227;520;5;1
1228;520;7;1
1232;876;1;3
1233;1415;1;3
1237;435;1;2
1239;565;1;3
1240;1293;1;3
1242;1800;1;1
1243;799;1;2
1251;534;5;2
1254;2119;1;1
1256;1869;1;1
1257;1634;1;1
1260;844;1;2
1261;540;5;3
1262;540;7;3
1263;791;1;1
1267;1673;1;2
1286;985;1;1
1288;1742;1;1
1289;556;5;1
1291;1681;1;2
1293;257;1;2
1295;560;5;3
1296;560;7;1
1298;1236;1;3
1299;562;5;1
1300;2019;1;1
1301;1025;1;3
1303;1028;1;3
1304;565;7;3
1308;1843;1;2
1320;556;1;3
1321;575;7;2
1322;1773;1;1
1323;576;4;1
1325;873;1;1
1326;578;4;3
1329;580;5;1
1330;580;7;2
1331;203;1;3
1332;389;1;2
1338;585;7;1
1339;634;1;1
1347;590;7;3
1349;2075;1;1
1355;595;7;1
1356;818;1;2
1360;598;5;3
1368;1018;1;2
1369;505;1;3
1373;490;1;2
1378;471;1;3
1383;2181;1;3
1388;2110;1;2
1395;1033;1;1
1400;1525;1;1
1402;769;1;1
1409;864;1;1
1414;630;4;2
1415;630;7;3
1419;959;1;3
1421;634;5;1
1422;1771;1;2
1424;1763;1;3
1433;1528;1;2
1434;1987;1;2
1440;645;7;1
1442;646;4;2
1444;1178;1;2
1452;652;4;1
1454;1223;1;3
1470;1817;1;1
1477;578;1;2
1481;2134;1;2
1485;1840;1;2
1491;675;7;1
1492;595;1;1
1493;676;5;3
1494;231;1;2
1498;938;1;1
1508;685;7;2
1509;448;1;1
1510;686;5;1
1527;696;4;2
1528;1715;1;1
1529;1492;1;2
1530;698;4;3
1531;980;1;2
1539;2043;1;1
1541;2170;1;3
1545;1694;1;1
1546;1605;1;2
1563;1180;1;2
1565;452;1;2
1570;1941;1;3
1571;722;4;3
1573;289;1;2
1574;724;4;3
1575;1228;1;1
1576;725;7;2
1583;1809;1;3
1585;730;7;1
1586;1516;1;2
1589;1538;1;3
1591;734;4;1
1592;1410;1;2
1593;735;7;3
1594;972;1;2
1597;756;1;2
1600;998;1;2
1603;800;1;3
1609;235;1;3
1611;1307;1;3
1612;746;4;2
1617;231;1;3
1623;1966;1;2
1625;754;5;3
1629;756;4;3
1630;2135;1;1
1633;358;1;1
1635;760;5;3
1636;760;7;1
1639;762;4;3
1641;1902;1;1
1647;1121;1;1
1656;772;5;2
1657;814;1;3
1659;774;4;1
1660;800;1;3
1661;775;7;2
1662;925;1;3
1663;776;5;1
1664;2005;1;2
1665;2181;1;1
1666;778;4;1
1667;924;1;3
1671;503;1;2
1674;1580;1;2
1675;773;1;2
1678;785;7;3
1680;786;4;1
1684;1842;1;3
1694;942;1;2
1696;598;1;3
1703;800;5;1
1704;800;7;2
1706;2079;1;2
1707;802;4;3
1709;1261;1;2
1713;1987;1;1
1714;806;5;3
1717;808;4;2
1721;810;7;3
1723;276;1;2
1727;814;5;3
1728;531;1;3
1730;734;1;2
1732;388;1;1
1734;818;4;1
1742;1982;1;3
1743;898;1;3
1744;824;4;2
1747;1063;1;3
1748;826;4;2
1749;1080;1;2
1753;1627;1;2
1756;1041;1;2
1759;313;1;3
1761;834;5;2
1763;835;7;3
1765;836;4;3
1766;1251;1;3
1774;1263;1;1
1778;844;4;3
1789;850;7;2
1797;855;7;1
1805;860;5;3
1806;860;7;2
1807;1436;1;2
1811;2170;1;2
1812;864;4;3
1814;865;7;3
1816;866;5;2
1818;482;1;1
1819;868;5;1
1825;1210;1;1
1829;874;4;3
1830;691;1;1
1831;875;7;1
1834;1644;1;3
1844;1052;1;2
1845;2134;1;1
1849;836;1;1
1851;361;1;2
1852;744;1;2
1853;888;4;3
1854;373;1;1
1855;1175;1;1
1858;554;1;1
1859;1120;1;2
1865;895;7;1
1866;2044;1;3
1868;2043;1;1
1870;898;4;1
1871;2068;1;1
1873;900;5;3
1874;900;7;2
1876;1409;1;3
1881;1450;1;3
1883;2184;1;3
1884;906;5;2
1885;1678;1;2
1886;401;1;1
1889;834;1;2
1899;915;7;2
1902;248;1;1
1905;1324;1;1
1906;2104;1;2
1915;580;1;2
1916;925;7;2
1920;1237;1;3
1921;928;4;3
1923;1228;1;1
1926;389;1;1
1931;934;5;2
1933;935;7;2
1935;936;4;2
1940;823;1;3
1944;888;1;1
1946;335;1;1
1949;1426;1;3
1951;1777;1;1
1952;946;4;3
1953;2165;1;1
1955;948;5;1
1965;954;5;1
1970;382;1;2
1971;349;1;3
1980;1535;1;3
1981;1453;1;3
1982;964;5;1
1986;966;5;3
1996;972;4;1
1997;1016;1;1
1998;1726;1;2
2002;359;1;3
2004;572;1;1
2007;1902;1;2
2008;1006;1;3
2009;980;4;2
2010;980;7;2
2012;1093;1;1
2016;984;5;3
2018;985;7;3
2021;1259;1;2
2024;1065;1;3
2025;1678;1;3
2028;1463;1;3
2029;327;1;2
2030;992;5;3
2033;994;5;3
2035;995;7;2
2037;996;5;1
2038;406;1;1
2039;1164;1;3
2040;998;5;1
2045;2124;1;3
2052;1005;7;1
2054;1006;4;1
2055;814;1;2
2057;1008;5;3
2059;1429;1;2
2060;1010;4;3
2061;1010;7;2
2063;1530;1;3
2066;448;1;2
2067;1014;5;2
2068;1233;1;3
2071;1016;4;2
2079;1874;1;3
2080;2116;1;3
2086;1025;7;1
2090;437;1;1
2091;1028;5;2
2092;369;1;2
2097;925;1;3
2099;1510;1;2
2100;756;1;3
2107;1459;1;1
2110;2084;1;1
2114;1717;1;3
2123;1005;1;2
2130;1113;1;1
2131;634;1;3
2132;1052;5;1
2133;382;1;1
2134;1694;1;1
2138;269;1;2
2140;1576;1;1
2141;593;1;3
2142;1058;4;2
2144;572;1;3
2148;1650;1;1
2152;1064;4;1
2154;1065;7;1
2157;776;1;1
2160;1985;1;1
2168;931;1;1
2176;1078;4;1
2179;1080;5;3
2180;1080;7;2
2182;1912;1;1
2187;424;1;1
2188;1085;7;3
2191;860;1;3
2192;432;1;1
2194;843;1;2
2198;647;1;2
2199;1179;1;1
2205;1095;7;1
2209;1379;1;2
2211;1071;1;1
2212;1881;1;2
2216;565;1;1
2217;1102;5;1
2223;860;1;3
2226;1284;1;1
2227;1108;5;2
2230;1110;5;2
2231;1110;7;2
2232;1324;1;1
2233;355;1;1
2235;369;1;1
2238;273;1;1
2240;1979;1;2
2248;1120;7;2
2249;266;1;1
2250;405;1;2
2258;1126;5;1
2259;1754;1;1
2262;1463;1;2
2274;1354;1;3
2276;954;1;1
2278;1138;4;1
2279;348;1;2
2285;1142;5;1
2287;1322;1;3
2298;1150;5;3
2299;1150;7;3
2300;305;1;2
2301;1065;1;2
2303;1605;1;1
2305;1154;5;3
2306;1229;1;1
2308;331;1;1
2311;201;1;2
2312;1158;4;1
2315;1160;5;2
2316;1160;7;1
2317;1213;1;2
2318;1420;1;2
2327;1237;1;1
2329;1168;5;3
2337;1773;1;2
2339;1174;5;1
2341;1175;7;1
2346;1178;5;3
2349;1180;4;1
2350;1180;7;2
2351;693;1;1
2360;1186;5;1
2361;296;1;1
2362;651;1;3
2366;1190;5;1
2367;1190;7;2
2370;1192;5;1
2371;2034;1;3
2375;1195;7;3
2377;1196;4;2
2380;1198;4;3
2381;549;1;2
2382;2145;1;2
2383;1200;4;3
2384;1200;7;1
2389;744;1;3
2390;1204;4;2
2395;1693;1;1
2398;675;1;3
2399;1110;1;1
2400;1210;5;2
2401;1210;7;1
2403;1649;1;3
2405;1524;1;3
2410;1190;1;2
2411;1216;4;1
2417;1220;5;1
2418;1220;7;2
2419;676;1;1
2421;1222;5;3
2428;1226;5;3
2429;1379;1;2
2434;1230;4;3
2435;1230;7;3
2443;1235;7;2
2446;374;1;3
2447;925;1;1
2449;2158;1;2
2457;266;1;2
2458;1244;5;3
2459;645;1;2
2464;328;1;3
2466;1108;1;1
2470;1511;1;3
2476;1773;1;3
2481;785;1;1
2484;1510;1;2
2490;2044;1;2
2495;1627;1;3
2497;284;1;1
2500;1603;1;3
2501;791;1;1
2510;1737;1;3
2512;717;1;3
2513;1276;5;2
2514;746;1;1
2515;980;1;1
2517;436;1;1
2522;1714;1;3
2528;1285;7;1
2534;355;1;2
2549;1047;1;3
2551;266;1;2
2553;1300;5;1
2554;1300;7;2
2555;1211;1;2
2559;1492;1;2
2560;1304;5;1
2561;1200;1;2
2566;1251;1;3
2567;1308;4;2
2568;1511;1;3
2569;611;1;2
2571;1310;7;2
2572;996;1;3
2575;1452;1;3
2577;1314;4;1
2579;1315;7;3
2580;1817;1;1
2585;407;1;3
2586;1358;1;1
2589;1547;1;1
2592;2086;1;2
2603;1103;1;3
2608;1332;5;1
2610;946;1;2
2614;1235;1;1
2616;832;1;2
2617;578;1;3
2618;1338;5;2
2623;1917;1;2
2624;1063;1;3
2629;432;1;3
2639;1350;7;1
2641;1982;1;1
2645;1354;5;2
2650;1445;1;3
2651;305;1;1
2652;1358;4;2
2653;1497;1;1
2656;1360;7;3
2659;1362;4;1
2661;1400;1;3
2663;1216;1;3
2664;1365;7;1
2668;2122;1;3
2671;1592;1;2
2675;416;1;2
2678;1997;1;1
2687;373;1;1
2688;1003;1;1
2689;1380;5;1
2690;1380;7;1
2691;2023;1;1
2694;1850;1;3
2697;1304;1;1
2698;1385;7;2
2701;1039;1;2
2703;1388;4;2
2705;1879;1;2
2706;1390;4;2
2707;1390;7;2
2708;1883;1;2
2709;1678;1;1
2711;335;1;2
2713;1394;5;3
2724;1400;7;2
2726;1754;1;1
2735;1138;1;3
2741;1410;7;3
2742;1529;1;3
2747;1414;5;1
2749;1415;7;1
2758;1420;7;1
2759;2001;1;3
2760;1196;1;3
2767;1031;1;1
2768;1426;5;3
2769;754;1;1
2773;1492;1;1
2779;1158;1;2
2781;1434;5;3
2785;1436;4;2
2791;1440;5;1
2792;1440;7;1
2793;951;1;2
2794;1314;1;3
2795;1442;5;1
2796;603;1;2
2800;1445;7;3
2807;693;1;1
2809;1450;7;3
2812;1452;4;2
2813;2121;1;1
2817;1455;7;3
2818;1663;1;1
2825;1460;5;3
2826;1460;7;2
2827;210;1;3
2833;1956;1;2
2840;788;1;3
2843;1470;7;2
2850;394;1;2
2852;2027;1;1
2854;826;1;1
2855;1961;1;2
2857;2023;1;1
2859;1480;5;3
2860;1480;7;1
2871;276;1;1
2872;1210;1;3
2874;1659;1;1
2875;1226;1;3
2876;1490;4;1
2877;1490;7;3
2878;646;1;2
2879;339;1;3
2884;760;1;1
2889;344;1;3
2898;2165;1;1
2901;941;1;2
2902;1505;7;1
2903;912;1;3
2904;1506;5;2
2905;268;1;2
2908;730;1;2
2910;1510;4;2
2911;1510;7;3
2916;336;1;2
2921;1516;4;3
2924;1518;4;3
2925;591;1;1
2926;622;1;3
2934;1524;4;2
2935;1687;1;3
2936;1525;7;3
2937;1310;1;3
2939;344;1;1
2940;319;1;1
2943;1935;1;3
2945;1530;7;3
2953;1535;7;2
2956;939;1;1
2958;1538;4;2
2963;1304;1;2
2964;808;1;3
2966;562;1;1
2973;1690;1;2
2979;1550;7;1
2990;1684;1;2
2994;327;1;2
3005;1126;1;3
3009;1568;4;1
3019;1574;4;1
3020;1511;1;1
3022;946;1;1
3023;1576;5;2
3024;1039;1;2
3028;2124;1;2
3029;1580;4;1
3030;1580;7;1
3037;1765;1;1
3038;1585;7;2
3041;1410;1;1
3042;1492;1;2
3044;446;1;1
3050;1592;4;3
3051;340;1;3
3052;1865;1;1
3054;1200;1;1
3056;1751;1;1
3058;1771;1;3
3061;824;1;3
3063;1600;5;1
3064;1600;7;2
3068;2010;1;1
3071;1503;1;3
3072;1605;7;1
3073;1247;1;1
3075;1694;1;2
3082;954;1;3
3085;1029;1;1
3088;1356;1;1
