idbestellungen;kunden_idkunden;DATUM;AUSGELIEFERT
0;23466;NULL;1
201;21250;2007-04-13;1
203;24192;2007-07-06;0
206;18859;2007-07-02;0
208;28091;2007-06-07;0
209;23570;2007-04-23;1
210;21621;2007-07-08;0
221;24999;2007-04-12;1
223;25173;2007-05-10;1
225;27322;2007-05-05;1
227;20293;2007-05-12;1
228;26879;2007-04-13;1
229;25766;2007-05-25;0
231;19422;2007-05-30;0
235;19296;2007-05-29;0
236;21757;2007-06-01;0
244;25093;2007-06-15;0
248;23412;2007-07-06;0
255;22916;2007-04-16;1
257;19672;2007-05-29;0
258;22256;2007-07-06;0
261;27203;2007-05-23;0
266;20763;2007-04-11;1
267;25136;2007-04-07;1
268;25169;2007-04-18;1
269;21810;2007-04-24;1
273;27876;2007-06-25;0
276;21965;2007-05-25;0
280;25905;2007-04-22;1
282;25519;2007-05-15;1
284;18285;2007-04-07;1
289;21907;2007-06-13;0
296;25470;2007-06-27;0
299;22895;2007-05-08;1
305;27185;2007-06-19;0
312;19592;2007-07-05;0
313;21281;2007-05-21;0
317;20846;2007-05-10;1
319;19945;2007-06-23;0
327;26717;2007-04-17;1
328;27554;2007-06-14;0
331;21258;2007-04-11;1
334;20778;2007-04-04;1
335;20987;2007-04-15;1
336;25025;2007-04-13;1
337;23916;2007-06-10;0
339;19737;2007-04-28;1
340;26207;2007-05-06;1
344;20957;2007-04-14;1
348;26734;2007-07-04;0
349;25709;2007-05-30;0
355;21762;2007-05-11;1
356;19083;2007-06-01;0
358;20532;2007-06-26;0
359;23570;2007-04-21;1
360;26995;2007-06-09;0
361;19305;2007-05-27;0
363;23956;2007-05-15;1
364;27113;2007-05-31;0
366;25372;2007-05-06;1
369;25082;2007-04-29;1
373;21578;2007-06-20;0
374;22376;2007-05-20;1
379;27354;2007-06-20;0
380;24637;2007-07-03;0
382;28621;2007-04-23;1
387;22612;2007-06-14;0
388;25409;2007-04-30;1
389;27654;2007-06-03;0
391;20171;2007-06-18;0
393;18608;2007-05-18;1
394;21380;2007-05-29;0
401;25999;2007-05-09;1
404;18848;2007-04-21;1
405;22466;2007-04-02;1
406;25957;2007-06-16;0
407;23727;2007-05-28;0
412;22549;2007-04-05;1
413;21815;2007-04-08;1
414;27571;2007-04-27;1
416;19321;2007-05-05;1
419;26905;2007-06-27;0
424;23179;2007-06-15;0
430;19153;2007-06-27;0
432;26877;2007-05-26;0
433;26954;2007-06-09;0
435;27276;2007-05-26;0
436;25771;2007-05-09;1
437;26970;2007-05-26;0
445;18576;2007-06-01;0
446;26260;2007-06-14;0
448;19675;2007-04-23;1
452;18865;2007-05-05;1
460;19445;2007-05-18;1
462;23529;2007-05-06;1
464;18495;2007-07-06;0
467;24232;2007-05-05;1
471;20988;2007-06-19;0
472;19433;2007-06-28;0
474;24017;2007-06-29;0
475;22878;2007-06-03;0
476;25450;2007-05-28;0
481;21451;2007-06-16;0
482;26299;2007-04-05;1
483;21720;2007-05-04;1
484;27891;2007-04-26;1
490;18275;2007-05-28;0
492;19861;2007-06-03;0
494;21313;2007-06-08;0
495;22904;2007-05-17;1
498;26543;2007-05-20;1
503;19380;2007-05-21;0
504;18621;2007-05-30;0
505;23869;2007-06-05;0
515;26631;2007-06-11;0
520;20622;2007-04-08;1
521;26098;2007-04-12;1
531;20692;2007-05-24;0
533;28343;2007-05-20;1
534;28391;2007-06-30;0
536;19961;2007-07-07;0
540;24392;2007-07-01;0
548;22302;2007-06-09;0
549;23320;2007-07-06;0
553;20104;2007-07-07;0
554;20385;2007-04-09;1
556;24501;2007-07-04;0
557;23013;2007-06-16;0
560;22741;2007-05-20;1
562;28402;2007-06-15;0
565;22629;2007-04-02;1
569;27411;2007-04-25;1
572;27347;2007-04-30;1
573;26553;2007-04-18;1
575;19902;2007-04-28;1
576;25066;2007-04-25;1
578;20197;2007-05-30;0
580;24480;2007-04-26;1
583;18530;2007-05-19;1
585;24106;2007-04-07;1
589;21001;2007-06-16;0
590;19815;2007-05-23;0
591;25586;2007-04-22;1
592;26835;2007-04-19;1
593;18585;2007-06-25;0
595;19408;2007-06-26;0
598;25683;2007-05-05;1
599;21565;2007-05-13;1
603;23529;2007-05-16;1
611;21760;2007-04-19;1
618;24949;2007-05-19;1
621;23123;2007-04-11;1
622;23009;2007-04-24;1
629;19914;2007-06-13;0
630;18947;2007-04-24;1
633;27270;2007-04-19;1
634;25266;2007-06-06;0
636;26447;2007-04-30;1
637;22762;2007-05-06;1
645;26692;2007-05-05;1
646;22770;2007-04-06;1
647;18901;2007-05-15;1
649;28225;2007-06-30;0
651;19721;2007-06-16;0
652;19240;2007-05-15;1
671;21844;2007-06-29;0
675;20429;2007-06-03;0
676;21318;2007-07-08;0
685;27864;2007-05-17;1
686;18912;2007-06-26;0
687;19559;2007-05-09;1
691;22235;2007-05-09;1
693;23590;2007-05-26;0
696;24694;2007-04-08;1
698;25939;2007-04-04;1
701;18588;2007-04-06;1
709;25015;2007-04-05;1
711;26030;2007-07-05;0
714;19976;2007-04-23;1
716;26480;2007-06-24;0
717;28500;2007-06-29;0
721;25143;2007-05-08;1
722;22357;2007-05-19;1
723;24350;2007-04-29;1
724;24509;2007-05-05;1
725;18924;2007-05-24;0
729;24844;2007-04-23;1
730;24373;2007-05-27;0
733;20393;2007-07-06;0
734;27552;2007-06-18;0
735;25639;2007-05-14;1
744;27237;2007-07-02;0
746;18372;2007-06-10;0
749;21377;2007-04-23;1
751;24831;2007-04-19;1
754;26060;2007-05-25;0
756;24868;2007-05-28;0
759;25418;2007-05-17;1
760;23855;2007-05-16;1
761;27327;2007-04-29;1
762;25647;2007-05-20;1
769;22974;2007-06-18;0
771;20142;2007-06-03;0
772;27158;2007-06-12;0
773;24064;2007-04-16;1
774;23450;2007-05-13;1
775;25096;2007-04-26;1
776;19466;2007-05-02;1
778;25751;2007-05-06;1
785;28179;2007-05-09;1
786;27023;2007-05-31;0
788;22971;2007-05-14;1
791;24742;2007-06-28;0
799;19261;2007-05-28;0
800;27703;2007-05-25;0
802;21599;2007-06-10;0
